Color Label,Hex Value,RGB
Buried Treasure,#F7B260,"(247, 178, 96)"
27YY 78/255,#FADBAF,"(250, 219, 175)"
20YY 78/146,#F5DFC4,"(245, 223, 196)"
00YY 23/557,#C07722,"(192, 119, 34)"
00YY 34/562,#D88A30,"(216, 138, 48)"
06YY 49/797,#FFA405,"(255, 164, 5)"
25YY 50/592,#F1AA4A,"(241, 170, 74)"
12YY 61/523,#FDBA61,"(253, 186, 97)"
11YY 70/356,#FFCF95,"(255, 207, 149)"
Cocoa Butter,#FBDCB1,"(251, 220, 177)"
10YY 27/600,#C88326,"(200, 131, 38)"
11YY 38/694,#E19000,"(225, 144, 0)"
19YY 51/758,#FEAB13,"(254, 171, 19)"
14YY 57/556,#FBB758,"(251, 183, 88)"
25YY 70/365,#FFD090,"(255, 208, 144)"
22YY 80/211,#FEE1BC,"(254, 225, 188)"
25YY 83/103,#F5E6D1,"(245, 230, 209)"
10YY 30/560,#C88626,"(200, 134, 38)"
10YY 40/608,#E39931,"(227, 153, 49)"
05YY 52/658,#FEA93A,"(254, 169, 58)"
13YY 60/475,#FBBD71,"(251, 189, 113)"
25YY 62/353,#F1C184,"(241, 193, 132)"
25YY 79/240,#FBDCAE,"(251, 220, 174)"
34YY 81/209,#FBE3BD,"(251, 227, 189)"
20YY 26/490,#B5812E,"(181, 129, 46)"
20YY 34/700,#D79413,"(215, 148, 19)"
21YY 60/577,#FCBB58,"(252, 187, 88)"
30YY 70/455,#FFCE7D,"(255, 206, 125)"
33YY 74/360,#FFD997,"(255, 217, 151)"
35YY 78/269,#FADEAA,"(250, 222, 170)"
25YY 81/177,#F5E1BE,"(245, 225, 190)"
20YY 12/263,#765935,"(118, 89, 53)"
10YY 23/261,#9C7851,"(156, 120, 81)"
15YY 37/276,#BF9B6E,"(191, 155, 110)"
15YY 49/288,#D8B081,"(216, 176, 129)"
20YY 64/171,#E5CDAF,"(229, 205, 175)"
20YY 70/138,#E8D4BC,"(232, 212, 188)"
30YY 80/088,#F0E3D2,"(240, 227, 210)"
30YY 23/246,#967D54,"(150, 125, 84)"
30YY 35/249,#B4986D,"(180, 152, 109)"
Drum Hide,#CDB288,"(205, 178, 136)"
36YY 59/230,#DBC399,"(219, 195, 153)"
40YY 67/196,#E4D0AB,"(228, 208, 171)"
39YY 74/175,#EDDAB9,"(237, 218, 185)"
44YY 87/118,#F6EBD3,"(246, 235, 211)"
30YY 21/438,#9E782E,"(158, 120, 46)"
Cherished Gold,#C19659,"(193, 150, 89)"
21YY 45/405,#D7A762,"(215, 167, 98)"
30YY 64/331,#F0CB90,"(240, 203, 144)"
Straw Bale,#ECD5AF,"(236, 213, 175)"
40YY 83/150,#F7E6CA,"(247, 230, 202)"
25YY 85/108,#F4E7CE,"(244, 231, 206)"
10YY 26/321,#AB804F,"(171, 128, 79)"
24YY 39/319,#C39E67,"(195, 158, 103)"
20YY 51/306,#DCB481,"(220, 180, 129)"
30YY 63/231,#E6CAA1,"(230, 202, 161)"
Rope Knot,#E4CAA7,"(228, 202, 167)"
30YY 75/145,#F0DEC2,"(240, 222, 194)"
42YY 87/084,#F5EBD9,"(245, 235, 217)"
20YY 23/525,#B37F28,"(179, 127, 40)"
Ochre Glow,#CA9A51,"(202, 154, 81)"
Caramel Crunch,#D7A762,"(215, 167, 98)"
26YY 52/359,#DFB778,"(223, 183, 120)"
Butterscotch Syrup,#EBC68E,"(235, 198, 142)"
30YY 77/169,#F4DDBE,"(244, 221, 190)"
Cream Rose,#FAEBD1,"(250, 235, 209)"
20YY 32/494,#C38D38,"(195, 141, 56)"
20YY 46/515,#E5AA53,"(229, 170, 83)"
23YY 53/490,#EAB45D,"(234, 180, 93)"
35YY 61/431,#EFC076,"(239, 192, 118)"
30YY 69/216,#EFD5AE,"(239, 213, 174)"
40YY 83/129,#F6E7CD,"(246, 231, 205)"
52YY 89/117,#F7ECD5,"(247, 236, 213)"
20YY 27/426,#AF8136,"(175, 129, 54)"
25YY 38/510,#CB983B,"(203, 152, 59)"
23YY 44/541,#DCA440,"(220, 164, 64)"
California Days,#F4C272,"(244, 194, 114)"
Buttered Corn,#FEDFA1,"(254, 223, 161)"
45YY 83/250,#FCE5B4,"(252, 229, 180)"
50YY 83/171,#F6E5C3,"(246, 229, 195)"
25YY 49/757,#F8AF1C,"(248, 175, 28)"
23YY 62/816,#FFBA1F,"(255, 186, 31)"
22YY 59/694,#FFBA35,"(255, 186, 53)"
33YY 69/519,#FFCF6E,"(255, 207, 110)"
34YY 71/404,#FBD388,"(251, 211, 136)"
38YY 81/256,#FADEAE,"(250, 222, 174)"
39YY 85/156,#F5E5C7,"(245, 229, 199)"
20YY 28/613,#C88A28,"(200, 138, 40)"
20YY 40/608,#DD9C2C,"(221, 156, 44)"
Sun Flare,#FBB847,"(251, 184, 71)"
Banana Split,#FFCF73,"(255, 207, 115)"
37YY 78/312,#FADAA1,"(250, 218, 161)"
40YY 77/267,#F9DFAD,"(249, 223, 173)"
34YY 76/174,#F2DEBE,"(242, 222, 190)"
24YY 28/384,#AC833F,"(172, 131, 63)"
30YY 33/613,#C89319,"(200, 147, 25)"
30YY 46/608,#E2AC39,"(226, 172, 57)"
35YY 59/533,#F1BC59,"(241, 188, 89)"
39YY 71/413,#FAD587,"(250, 213, 135)"
43YY 74/339,#F7DA99,"(247, 218, 153)"
50YY 80/242,#F8E1B2,"(248, 225, 178)"
Mustard Blanket,#B89441,"(184, 148, 65)"
40YY 41/603,#CEA127,"(206, 161, 39)"
40YY 49/546,#DEB349,"(222, 179, 73)"
45YY 66/512,#F6CF6C,"(246, 207, 108)"
45YY 71/426,#F8D483,"(248, 212, 131)"
Vanilla Sundae,#FBE5AD,"(251, 229, 173)"
58YY 88/180,#F7E9C5,"(247, 233, 197)"
34YY 31/502,#B68D2C,"(182, 141, 44)"
Golden Sands,#D7B468,"(215, 180, 104)"
45YY 61/368,#E6C780,"(230, 199, 128)"
45YY 65/334,#E8CC8D,"(232, 204, 141)"
50YY 75/254,#F2DCAA,"(242, 220, 170)"
40YY 75/216,#F3DCB4,"(243, 220, 180)"
45YY 83/156,#F8E8C9,"(248, 232, 201)"
44YY 23/330,#937B3C,"(147, 123, 60)"
37YY 39/443,#C39E4B,"(195, 158, 75)"
Harvest Dusk,#D4B773,"(212, 183, 115)"
Honey Nut,#D6BB82,"(214, 187, 130)"
Almond Butter,#E2CD9E,"(226, 205, 158)"
50YY 77/173,#F0E1BF,"(240, 225, 191)"
65YY 89/088,#F6F1DE,"(246, 241, 222)"
30YY 41/700,#DBA000,"(219, 160, 0)"
34YY 55/802,#F5B700,"(245, 183, 0)"
34YY 61/672,#F9C13B,"(249, 193, 59)"
40YY 69/666,#FFD04A,"(255, 208, 74)"
43YY 71/540,#FED56A,"(254, 213, 106)"
51YY 78/444,#FEE089,"(254, 224, 137)"
52YY 83/223,#F9E8BC,"(249, 232, 188)"
37YY 38/594,#C99C1D,"(201, 156, 29)"
39YY 52/691,#E7B523,"(231, 181, 35)"
40YY 58/565,#EBBD51,"(235, 189, 81)"
43YY 69/543,#F8CD6A,"(248, 205, 106)"
45YY 77/424,#FFDC8C,"(255, 220, 140)"
48YY 80/346,#FEE39F,"(254, 227, 159)"
64YY 84/180,#F4EAC6,"(244, 234, 198)"
40YY 46/587,#DAA937,"(218, 169, 55)"
34YY 55/802,#F5B700,"(245, 183, 0)"
42YY 64/745,#F7C631,"(247, 198, 49)"
45YY 65/710,#FACA35,"(250, 202, 53)"
43YY 65/687,#FBCB3B,"(251, 203, 59)"
45YY 73/519,#FFD571,"(255, 213, 113)"
53YY 83/348,#FDE39F,"(253, 227, 159)"
37YY 61/867,#FFC100,"(255, 193, 0)"
40YY 64/903,#FFC700,"(255, 199, 0)"
45YY 62/805,#F7C500,"(247, 197, 0)"
52YY 72/661,#FDD84F,"(253, 216, 79)"
48YY 73/573,#FFD967,"(255, 217, 103)"
62YY 83/382,#FCE99C,"(252, 233, 156)"
Citrus Sorbet,#FBEDBA,"(251, 237, 186)"
60YY 48/748,#D9B500,"(217, 181, 0)"
60YY 62/755,#ECC722,"(236, 199, 34)"
51YY 61/792,#EFC900,"(239, 201, 0)"
54YY 69/747,#F8D02E,"(248, 208, 46)"
Sulphur Sunrise,#FCE462,"(252, 228, 98)"
60YY 79/367,#F7DF96,"(247, 223, 150)"
66YY 85/231,#F7EBBD,"(247, 235, 189)"
50YY 37/519,#BC9E36,"(188, 158, 54)"
Citrus Zing,#DAB955,"(218, 185, 85)"
50YY 60/538,#EBC65D,"(235, 198, 93)"
50YY 65/454,#EFD077,"(239, 208, 119)"
49YY 69/406,#F2D486,"(242, 212, 134)"
60YY 77/332,#F3DE9C,"(243, 222, 156)"
60YY 83/156,#F4E7C8,"(244, 231, 200)"
60YY 28/443,#9F8B33,"(159, 139, 51)"
60YY 47/608,#CBB132,"(203, 177, 50)"
Sweet Citrus,#D9C15B,"(217, 193, 91)"
Lemon Punch,#EECD40,"(238, 205, 64)"
65YY 70/540,#ECD96A,"(236, 217, 106)"
70YY 79/407,#F4E291,"(244, 226, 145)"
66YY 83/272,#F7EAB3,"(247, 234, 179)"
60YY 34/461,#B0993F,"(176, 153, 63)"
60YY 39/654,#C4A91B,"(196, 169, 27)"
50YY 53/687,#E0BA25,"(224, 186, 37)"
60YY 69/583,#F3D15B,"(243, 209, 91)"
60YY 71/409,#EFD886,"(239, 216, 134)"
60YY 80/288,#F6E2A9,"(246, 226, 169)"
60YY 83/187,#F4E6C0,"(244, 230, 192)"
62YY 27/282,#978953,"(151, 137, 83)"
70YY 37/296,#AEA26B,"(174, 162, 107)"
70YY 55/299,#CDC387,"(205, 195, 135)"
70YY 66/265,#DED29C,"(222, 210, 156)"
70YY 70/209,#E2D8AE,"(226, 216, 174)"
70YY 75/124,#E6DEC4,"(230, 222, 196)"
90YY 83/107,#EDE9D3,"(237, 233, 211)"
48YY 12/177,#665936,"(102, 89, 54)"
53YY 26/275,#968550,"(150, 133, 80)"
49YY 46/310,#C4AE73,"(196, 174, 115)"
49YY 54/251,#D1BE8E,"(209, 190, 142)"
50YY 62/309,#E2CB8F,"(226, 203, 143)"
60YY 72/225,#E8D8AC,"(232, 216, 172)"
70YY 83/150,#F2E8C9,"(242, 232, 201)"
70YY 21/335,#867B3D,"(134, 123, 61)"
61YY 39/443,#B7A44B,"(183, 164, 75)"
70YY 50/383,#C9B96D,"(201, 185, 109)"
Fresh Stem,#DCCE8D,"(220, 206, 141)"
70YY 73/288,#EDDDA2,"(237, 221, 162)"
63YY 79/219,#F1E4B8,"(241, 228, 184)"
87YY 85/110,#EEEDD5,"(238, 237, 213)"
68YY 16/179,#6F6845,"(111, 104, 69)"
Mountain Moss,#968A3B,"(150, 138, 59)"
64YY 38/505,#B3A236,"(179, 162, 54)"
67YY 51/608,#CCBC37,"(204, 188, 55)"
65YY 68/572,#ECD461,"(236, 212, 97)"
65YY 72/399,#ECDB8B,"(236, 219, 139)"
68YY 83/339,#F7EAA5,"(247, 234, 165)"
65YY 27/444,#9A8B30,"(154, 139, 48)"
70YY 53/638,#CFBF3B,"(207, 191, 59)"
63YY 53/710,#D5BF19,"(213, 191, 25)"
Sicilian Lime,#DFCD45,"(223, 205, 69)"
70YY 66/510,#E8D36D,"(232, 211, 109)"
80YY 75/423,#E8E38C,"(232, 227, 140)"
85YY 86/166,#F1EFCC,"(241, 239, 204)"
76YY 39/616,#ACA90C,"(172, 169, 12)"
77YY 47/629,#BCB928,"(188, 185, 40)"
77YY 52/604,#C6C13B,"(198, 193, 59)"
75YY 55/509,#CCC45A,"(204, 196, 90)"
82YY 74/446,#E4E184,"(228, 225, 132)"
Celery Leaf,#E6E7A3,"(230, 231, 163)"
91YY 82/235,#EAEBBA,"(234, 235, 186)"
Rainforest Canopy,#888C29,"(136, 140, 41)"
91YY 40/628,#A2AF1D,"(162, 175, 29)"
92YY 46/608,#AFBB34,"(175, 187, 52)"
93YY 52/598,#B9C546,"(185, 197, 70)"
89YY 62/494,#D2D36F,"(210, 211, 111)"
90YY 69/419,#DDDA87,"(221, 218, 135)"
86YY 77/295,#E8E3A8,"(232, 227, 168)"
91YY 23/374,#7D8234,"(125, 130, 52)"
Venus Flytrap,#A4A93A,"(164, 169, 58)"
92YY 51/593,#BAC348,"(186, 195, 72)"
92YY 59/547,#C5CF5A,"(197, 207, 90)"
88YY 66/447,#D8D87C,"(216, 216, 124)"
92YY 69/401,#D7DC88,"(215, 220, 136)"
Tea Tree,#EAEBBA,"(234, 235, 186)"
77YY 19/297,#787336,"(120, 115, 54)"
76YY 27/439,#908B2C,"(144, 139, 44)"
90YY 48/500,#B9BB58,"(185, 187, 88)"
90YY 58/424,#C9CC75,"(201, 204, 117)"
88YY 71/380,#E0DD90,"(224, 221, 144)"
89YY 78/269,#E8E5AE,"(232, 229, 174)"
Alpine Flowers,#EAE7C1,"(234, 231, 193)"
90YY 15/279,#6C6B3E,"(108, 107, 62)"
Sea Nettle,#8A8B54,"(138, 139, 84)"
95YY 39/329,#A4A967,"(164, 169, 103)"
90YY 54/254,#C2C28F,"(194, 194, 143)"
Melon Sorbet,#D0CD98,"(208, 205, 152)"
90YY 83/179,#EDE9C5,"(237, 233, 197)"
85YY 89/109,#F3F2DA,"(243, 242, 218)"
90YY 07/093,#484737,"(72, 71, 55)"
Wild Cactus,#636040,"(99, 96, 64)"
79YY 27/188,#8D8964,"(141, 137, 100)"
Dried Sage,#A29F7F,"(162, 159, 127)"
Fresh Artichoke,#C1BEA2,"(193, 190, 162)"
90YY 67/117,#D7D4BB,"(215, 212, 187)"
Beach Grass,#DEDCC1,"(222, 220, 193)"
10GY 14/135,#63664F,"(99, 102, 79)"
Guild Green,#777B5B,"(119, 123, 91)"
10GY 29/158,#8D9275,"(141, 146, 117)"
Fragrant Herb,#A3A78D,"(163, 167, 141)"
13GY 52/120,#B9BFA7,"(185, 191, 167)"
19GY 65/110,#CED4BE,"(206, 212, 190)"
00GY 80/069,#E6E7D8,"(230, 231, 216)"
14GY 12/129,#565C43,"(86, 92, 67)"
18GY 18/160,#687152,"(104, 113, 82)"
08GY 26/190,#838A65,"(131, 138, 101)"
08GY 36/175,#9AA07D,"(154, 160, 125)"
96YY 53/200,#BEC198,"(190, 193, 152)"
Pistachio Creme,#D5D6B5,"(213, 214, 181)"
99YY 82/124,#E8EAD0,"(232, 234, 208)"
87YY 13/208,#5D5D32,"(93, 93, 50)"
90YY 21/371,#7E7F3A,"(126, 127, 58)"
90YY 35/304,#A09E64,"(160, 158, 100)"
90YY 48/255,#BBB786,"(187, 183, 134)"
90YY 72/225,#E1DBAE,"(225, 219, 174)"
90YY 83/143,#EDECCD,"(237, 236, 205)"
Lime Soda,#F3F2DA,"(243, 242, 218)"
30GY 09/171,#465439,"(70, 84, 57)"
10GY 21/375,#72813A,"(114, 129, 58)"
10GY 40/296,#A3AC74,"(163, 172, 116)"
10GY 54/238,#B7C292,"(183, 194, 146)"
10GY 71/180,#D9DCB8,"(217, 220, 184)"
Soft Apple,#E6EACB,"(230, 234, 203)"
10GY 83/100,#E7E7D1,"(231, 231, 209)"
42GY 09/205,#435736,"(67, 87, 54)"
21GY 28/472,#749639,"(116, 150, 57)"
20GY 39/466,#8EAF54,"(142, 175, 84)"
10GY 41/600,#98B33E,"(152, 179, 62)"
10GY 52/541,#AFC657,"(175, 198, 87)"
10GY 74/325,#D6E0A0,"(214, 224, 160)"
10GY 79/231,#DFE6B7,"(223, 230, 183)"
30GY 16/343,#5B7638,"(91, 118, 56)"
21GY 25/379,#728C42,"(114, 140, 66)"
20GY 37/537,#86AD3D,"(134, 173, 61)"
16GY 54/615,#A2CA48,"(162, 202, 72)"
Kiwi Crush,#BDD176,"(189, 209, 118)"
Lime Jelly,#DEECAA,"(222, 236, 170)"
10GY 86/138,#EAF0D3,"(234, 240, 211)"
Vine Leaf,#3B6035,"(59, 96, 53)"
40GY 18/372,#517933,"(81, 121, 51)"
Grasshopper Green,#95C268,"(149, 194, 104)"
30GY 58/375,#B2CF89,"(178, 207, 137)"
30GY 62/344,#B9D594,"(185, 213, 148)"
26GY 68/322,#C5DE9E,"(197, 222, 158)"
Spring Glow,#DFEBC1,"(223, 235, 193)"
43GY 24/566,#569532,"(86, 149, 50)"
Parrots Plume,#71A63F,"(113, 166, 63)"
30GY 40/531,#86B34F,"(134, 179, 79)"
32GY 51/432,#A1C777,"(161, 199, 119)"
30GY 75/251,#D4E6B6,"(212, 230, 182)"
30GY 83/150,#E3ECCE,"(227, 236, 206)"
24GY 85/110,#E9EED7,"(233, 238, 215)"
50GY 15/289,#527143,"(82, 113, 67)"
30GY 21/429,#648637,"(100, 134, 55)"
18GY 38/328,#95A969,"(149, 169, 105)"
30GY 51/294,#AAC089,"(170, 192, 137)"
30GY 61/245,#BFD1A3,"(191, 209, 163)"
30GY 72/196,#D2E0BB,"(210, 224, 187)"
30GY 83/107,#E5EBD5,"(229, 235, 213)"
30GY 12/257,#506436,"(80, 100, 54)"
30GY 19/323,#647D43,"(100, 125, 67)"
16GY 28/295,#809158,"(128, 145, 88)"
30GY 34/249,#919F72,"(145, 159, 114)"
30GY 50/183,#AFBE9B,"(175, 190, 155)"
22GY 70/140,#D2DCBF,"(210, 220, 191)"
14GY 76/113,#DDE3CB,"(221, 227, 203)"
30GY 15/242,#5B6C42,"(91, 108, 66)"
30GY 23/232,#75845D,"(117, 132, 93)"
30GY 31/202,#8B9973,"(139, 153, 115)"
30GY 41/173,#A2AE8E,"(162, 174, 142)"
30GY 62/159,#C4CFB0,"(196, 207, 176)"
30GY 75/105,#D9E1CC,"(217, 225, 204)"
30GY 83/064,#E6EADD,"(230, 234, 221)"
Forest Shade,#57624D,"(87, 98, 77)"
50GY 26/155,#7C8D74,"(124, 141, 116)"
50GY 43/120,#A5B29C,"(165, 178, 156)"
Common Land,#BCC7B5,"(188, 199, 181)"
50GY 65/084,#C9D3C3,"(201, 211, 195)"
50GY 74/073,#D7DFD1,"(215, 223, 209)"
50GY 83/040,#E5E9DF,"(229, 233, 223)"
50GY 18/178,#65775B,"(101, 119, 91)"
50GY 23/280,#6C895B,"(108, 137, 91)"
50GY 44/248,#9BB68C,"(155, 182, 140)"
50GY 55/207,#B3CAA6,"(179, 202, 166)"
50GY 66/111,#C8D6C1,"(200, 214, 193)"
50GY 75/122,#D5E2CB,"(213, 226, 203)"
50GY 83/060,#E3EBDD,"(227, 235, 221)"
62GY 18/260,#52774D,"(82, 119, 77)"
46GY 21/423,#518439,"(81, 132, 57)"
50GY 37/335,#87AC72,"(135, 172, 114)"
50GY 52/263,#A5C295,"(165, 194, 149)"
50GY 70/192,#C6DEBB,"(198, 222, 187)"
45GY 83/149,#DDEED2,"(221, 238, 210)"
Fresh Aloe,#E3F0DD,"(227, 240, 221)"
61GY 12/190,#496343,"(73, 99, 67)"
50GY 16/383,#497839,"(73, 120, 57)"
38GY 26/456,#61933A,"(97, 147, 58)"
50GY 39/536,#74B559,"(116, 181, 89)"
Leap Frog,#97CD87,"(151, 205, 135)"
50GY 70/259,#C1E1B2,"(193, 225, 178)"
39GY 77/179,#D6E8C6,"(214, 232, 198)"
80GY 11/195,#3A5F42,"(58, 95, 66)"
70GY 11/387,#266A34,"(38, 106, 52)"
Lush Grass,#2E8F3D,"(46, 143, 61)"
Poison Ivy,#72B671,"(114, 182, 113)"
50GY 51/437,#93C87B,"(147, 200, 123)"
Cucumber Water,#BDE0A9,"(189, 224, 169)"
50GY 77/195,#D2E7C3,"(210, 231, 195)"
70GY 11/300,#346437,"(52, 100, 55)"
59GY 20/482,#368631,"(54, 134, 49)"
77GY 33/506,#46AC5F,"(70, 172, 95)"
69GY 47/391,#83C385,"(131, 195, 133)"
71GY 59/307,#A1D3A2,"(161, 211, 162)"
71GY 65/301,#ABDDAC,"(171, 221, 172)"
70GY 74/173,#C8E3C6,"(200, 227, 198)"
97GY 07/135,#385142,"(56, 81, 66)"
70GY 13/324,#3C6E3E,"(60, 110, 62)"
57GY 28/292,#6D9464,"(109, 148, 100)"
70GY 38/330,#7EB17E,"(126, 177, 126)"
73GY 56/241,#A5CEA7,"(165, 206, 167)"
70GY 66/200,#BAD9B8,"(186, 217, 184)"
70GY 74/149,#CCE3C9,"(204, 227, 201)"
50GY 08/153,#3E4E39,"(62, 78, 57)"
70GY 14/187,#536C51,"(83, 108, 81)"
70GY 27/154,#7C927A,"(124, 146, 122)"
Dewy Lawn,#A7B9A5,"(167, 185, 165)"
70GY 63/098,#C4D2C0,"(196, 210, 192)"
70GY 73/074,#D3DECF,"(211, 222, 207)"
70GY 83/060,#E2ECE0,"(226, 236, 224)"
70GY 10/136,#495A47,"(73, 90, 71)"
90GY 16/151,#57725E,"(87, 114, 94)"
90GY 29/121,#7F9584,"(127, 149, 132)"
79GY 36/106,#91A392,"(145, 163, 146)"
90GY 64/072,#C5D4C8,"(197, 212, 200)"
90GY 73/059,#D2DED4,"(210, 222, 212)"
90GY 83/033,#E5EBE4,"(229, 235, 228)"
01GG 07/070,#2D3D33,"(45, 61, 51)"
Everglade Forest,#304B38,"(48, 75, 56)"
82GY 19/152,#5D7861,"(93, 120, 97)"
83GY 33/173,#7E9E84,"(126, 158, 132)"
79GY 57/120,#B5CAB6,"(181, 202, 182)"
82GY 75/111,#D0E4D2,"(208, 228, 210)"
70GY 83/080,#E0ECDD,"(224, 236, 221)"
90GY 08/187,#32523D,"(50, 82, 61)"
81GY 15/202,#496E51,"(73, 110, 81)"
70GY 30/254,#779B74,"(119, 155, 116)"
70GY 49/201,#A1C09F,"(161, 192, 159)"
70GY 65/166,#BDD7BB,"(189, 215, 187)"
70GY 73/124,#CFE2CD,"(207, 226, 205)"
70GY 83/100,#DEEDD9,"(222, 237, 217)"
85GY 10/193,#32583D,"(50, 88, 61)"
90GY 16/354,#34794D,"(52, 121, 77)"
90GY 21/472,#238E52,"(35, 142, 82)"
90GY 33/408,#57A972,"(87, 169, 114)"
90GY 47/328,#80C194,"(128, 193, 148)"
90GY 70/221,#B7E2C3,"(183, 226, 195)"
90GY 83/104,#D8EFDC,"(216, 239, 220)"
80GY 12/245,#33643E,"(51, 100, 62)"
Fresh Pine,#23693B,"(35, 105, 59)"
06GG 19/406,#008356,"(0, 131, 86)"
90GY 36/453,#51B074,"(81, 176, 116)"
90GY 54/334,#8BCEA0,"(139, 206, 160)"
90GY 65/275,#A6DEB7,"(166, 222, 183)"
90GY 76/158,#C8E6CE,"(200, 230, 206)"
06GG 12/304,#086845,"(8, 104, 69)"
10GG 23/485,#009461,"(0, 148, 97)"
10GG 33/483,#1CAD78,"(28, 173, 120)"
10GG 44/395,#5FC094,"(95, 192, 148)"
10GG 57/307,#8AD3AF,"(138, 211, 175)"
10GG 72/219,#B4E5CA,"(180, 229, 202)"
10GG 76/153,#C7E8D4,"(199, 232, 212)"
12GG 10/310,#025E42,"(2, 94, 66)"
10GG 15/346,#207856,"(32, 120, 86)"
02GG 21/542,#008C5D,"(0, 140, 93)"
10GG 33/404,#41AA7D,"(65, 170, 125)"
10GG 49/300,#83C7A5,"(131, 199, 165)"
01GG 59/285,#97D5B1,"(151, 213, 177)"
10GG 83/125,#D2EDDB,"(210, 237, 219)"
07GG 08/244,#19563E,"(25, 86, 62)"
10GG 17/239,#41795F,"(65, 121, 95)"
90GY 28/319,#5B9A70,"(91, 154, 112)"
90GY 35/238,#7AA888,"(122, 168, 136)"
90GY 48/234,#93C1A1,"(147, 193, 161)"
90GY 67/146,#BEDAC4,"(190, 218, 196)"
90GY 83/098,#DAEDDC,"(218, 237, 220)"
25GG 07/188,#164B3C,"(22, 75, 60)"
30GG 16/137,#517367,"(81, 115, 103)"
11GG 26/195,#64907A,"(100, 144, 122)"
10GG 39/152,#8CAC9B,"(140, 172, 155)"
10GG 51/125,#A5C1B2,"(165, 193, 178)"
10GG 66/098,#C0D7C8,"(192, 215, 200)"
10GG 83/071,#DDEBDF,"(221, 235, 223)"
61GG 08/119,#1C4741,"(28, 71, 65)"
51GG 12/132,#3C6158,"(60, 97, 88)"
26GG 19/130,#59796C,"(89, 121, 108)"
17GG 40/107,#94ACA0,"(148, 172, 160)"
15GG 53/086,#AFC3B9,"(175, 195, 185)"
77GY 68/066,#CDD8CD,"(205, 216, 205)"
30GG 83/025,#E5EAE5,"(229, 234, 229)"
Pine Needle,#2A493F,"(42, 73, 63)"
28GG 08/229,#105444,"(16, 84, 68)"
30GG 29/196,#669887,"(102, 152, 135)"
30GG 47/180,#8CBCAB,"(140, 188, 171)"
30GG 60/143,#A9D0C1,"(169, 208, 193)"
30GG 75/095,#C9E1D5,"(201, 225, 213)"
30GG 83/075,#DBEEE5,"(219, 238, 229)"
30GG 10/225,#1C5C4A,"(28, 92, 74)"
30GG 19/370,#008466,"(0, 132, 102)"
30GG 33/275,#5DA78F,"(93, 167, 143)"
30GG 49/211,#8BC2AE,"(139, 194, 174)"
30GG 61/168,#ABD5C5,"(171, 213, 197)"
30GG 75/111,#C4E3D6,"(196, 227, 214)"
34GG 81/080,#D7EBE3,"(215, 235, 227)"
30GG 16/394,#007C5C,"(0, 124, 92)"
30GG 18/450,#008763,"(0, 135, 99)"
21GG 28/387,#269D78,"(38, 157, 120)"
30GG 40/290,#65B59A,"(101, 181, 154)"
30GG 57/217,#95CFBA,"(149, 207, 186)"
Peppermint Rock,#BDE8DA,"(189, 232, 218)"
30GG 83/088,#D9EDE3,"(217, 237, 227)"
Forest Festival,#03664F,"(3, 102, 79)"
30GG 21/423,#008E6B,"(0, 142, 107)"
30GG 37/423,#31B592,"(49, 181, 146)"
30GG 55/302,#80D2B6,"(128, 210, 182)"
30GG 72/212,#ACE3CD,"(172, 227, 205)"
30GG 76/127,#C4E6D7,"(196, 230, 215)"
30GG 83/100,#D2EBDE,"(210, 235, 222)"
44GG 12/299,#006755,"(0, 103, 85)"
Turquoise Jewel,#00836E,"(0, 131, 110)"
46GG 31/446,#00AA8F,"(0, 170, 143)"
53GG 50/360,#50C7B3,"(80, 199, 179)"
56GG 64/258,#90DDCD,"(144, 221, 205)"
50GG 71/180,#B2E5D8,"(178, 229, 216)"
50GG 82/115,#CFEDE3,"(207, 237, 227)"
42GG 08/250,#005345,"(0, 83, 69)"
48GG 19/309,#007F6E,"(0, 127, 110)"
Finest Turquoise,#009E82,"(0, 158, 130)"
Weathered Copper,#57B5A2,"(87, 181, 162)"
47GG 57/246,#8ED3C2,"(142, 211, 194)"
41GG 67/162,#B1DCCF,"(177, 220, 207)"
60GG 79/056,#D8E8E3,"(216, 232, 227)"
50GG 09/189,#1F564C,"(31, 86, 76)"
Emerald Glade,#2F7769,"(47, 119, 105)"
50GG 28/273,#4B9C8C,"(75, 156, 140)"
55GG 46/244,#78BEB1,"(120, 190, 177)"
50GG 61/154,#AAD4C8,"(170, 212, 200)"
50GG 69/134,#B9DED3,"(185, 222, 211)"
Alpine Forest,#D6EAE2,"(214, 234, 226)"
80GG 09/164,#10514E,"(16, 81, 78)"
70GG 09/223,#005D56,"(0, 93, 86)"
60GG 22/204,#48877D,"(72, 135, 125)"
77GG 46/139,#90B9B5,"(144, 185, 181)"
79GG 53/131,#A0C6C2,"(160, 198, 194)"
90GG 74/092,#C8E2DF,"(200, 226, 223)"
75GG 77/065,#D2E6E2,"(210, 230, 226)"
71GG 07/179,#004641,"(0, 70, 65)"
Fortune Green,#007067,"(0, 112, 103)"
78GG 21/381,#008C86,"(0, 140, 134)"
70GG 39/303,#55B7AC,"(85, 183, 172)"
70GG 60/251,#8BD6CC,"(139, 214, 204)"
56GG 77/156,#BEE9DE,"(190, 233, 222)"
50GG 75/092,#CAE3DB,"(202, 227, 219)"
82GG 12/289,#006663,"(0, 102, 99)"
78GG 19/378,#00837D,"(0, 131, 125)"
